PROVIDER,LP,PROVIDED_LP_TOKENS,WITHDRAWN_LP_TOKENS,BALANCE
terra1hckhf08jdj23xzyem0n57hw52h678ylj5wq6k7,loop-mine,302506580,302506000,580
terra1xd9jsan4a7drhskg0hhuskwjl3l38dcg6na56x,loop-ust,5240544,5240000,544
terra1529g0j8y8rxtw4n2ehrnlfyfuhmdp2vm5glm7w,loop-ust,2754083,2754000,83
terra1gwj9wgfa5cf90qm62afuq7hdq9wktspfepg93u,bluna-luna,3109667,3109000,667
terra1yt5rd6d9l6xg9jfupxez2keckf77x7ffu237m6,loop-ust,16757334,16757000,334
terra13vjx2wa2err28cs0emyny45sx3v0gtpjvvfugc,luna-ust,11749021,11749000,21
terra16uxwpkugf4ennd5axfjygrxerz2mndm47sqnal,spec-ust,74371689,74371600,89
terra1w2twtwgq7lswg6y449fzduvsq3a4mycqp2a8pz,stt-ust,120420966,120420000,966
terra1fph5mgggjw8s9kyd8ahknjfryxf072mv2mfns3,bluna-luna,14684681,14684000,681
terra1lqcxnn64nj9w4r8fqdpnwlf6fq5eskwnsf6qat,loop-ust,5678241,5678000,241
terra1qmk3l4xfjcq6jhlufuwgna29a0lsgaknqy3gtt,loop-ust,10993322,10993000,322
terra1q08leph5ahg5vlm2v3zyf5xuj2kx22xse6fhy3,loop-ust,1716289,1716000,289
terra1824w20tuzgujpptn5xqe208q8e25xlu8f5vz9u,anc-ust,31532176,31532000,176
terra1ejyppezpgdwxfatk4qcpvt5yfs25sn30qgkjke,loop-ust,140062868,140062000,868
terra1v8lwwcdxy73cnlxp4j26wrj8vdh5t8hqw6d3tz,loop-anc,201925277,201925000,277
terra1gkjzjsepl50js0qzmyeeskj9u45zqen6vzfv27,loop-ust,50356429,50356000,429
terra1dyh999cuqjkhadpfhh878sar73mrzy65695309,alte-ust,307448344410,307448344000,410
terra1gxr5msgalwdklmd46c6ncd8p7rxc9rhlej3tjg,loop-loopr,2678779001,2678779000,1
terra1nkl3py3fp4q6dhve8hzvsk9nn8t84ecapyr9tc,loop-anc,203764747,203764000,747
terra1k42pc4kt0227atraaxtnwkzd83sjj550zt26m3,aust-ust,20669973358,20669973000,358
terra1qzh243tejmj0mcs975fkcx0lz4c47a5llarf2u,bluna-luna,7401783,7401000,783
terra10f8r5czdrcfd7q8a9z8srf3zs4rmvkjguq3sxw,loop-loopr,18007203773,5270839800,12736363973
terra1d43eemlhe827mgql2zxm3hr0fhudfqgdsrkn9v,loop-ust,107698101,107698000,101
terra1f066c33xjezdqkl3xk7xmzk9aut4psshz52qk8,loop-loopr,82766530,82766000,530
terra123tnc0kpwe9ahmk6xdtj6s9hf6yuaa0e39p590,loop-anc,17615670,17615000,670
terra1zlujjgxn6rcxkdwx5mc2vyygn9rc4pnh9al7hm,loop-loopr,789534841,789534000,841
terra10jhal9rpn42nmfttc90zt8g979hzh2rfp5jyku,mir-ust,417158913,417158000,913
terra1dcdsg8yjaxhhzcarqvfjt69gduv7k0cxnlznuy,bluna-luna,120096438,120096000,438
terra1v7qvkgakw3gx8x0quepsrz29k327v5detw4khd,alte-ust,98334696,98334000,696
terra1q82c092pa9l5w3zf67auy3xhnxngct7dc3wt2z,spec-ust,21191030,21191000,30
terra1a8yhqyys5fz5zpkef55y6pycwm6c5jxh96wc5l,loop-ust,8557817,8557000,817
terra1r3yms4cvta3j2543wn5n37dae4wy4sxyut59du,loop-ust,172582301,172582000,301
terra1zhcuh80e3znp2udy3geyq9glka4zt3z5d67ymt,loop-ust,41988220,41988000,220
terra1g66p9avpt45h35kxllx3ajsyhhhzlyxd2nm4aj,stt-ust,1689934510,1689934000,510
terra1ctwl9d0arkf7f38lrp6ag0kwsjredn7h4y2n4l,loopr-ust,13890877,13890000,877
terra1ztlsgtg6sclyyl0um8a4ummutc7hqu99k4u2u2,loop-ust,48887234,48887000,234
terra14dkjgn0ped7rr72fqdat2x5vh9ffp28kg9f3cu,loop-ust,267862348,267862000,348
terra1qgfwlyvl4c4ds7yhprt6zd2vpjva4e0dgf760f,loop-ust,52411610,52411000,610
terra1ac3wuk0g45tmv3dvjgr6rt0zy3l3my2xlxma0f,loop-ust,13920386,13920000,386
terra175kf39veww889ydt8yzk5eq96xsqsyspeujayk,loop-ust,34427767,34427000,767
terra1nkw0hz3lhuqrdq6pgyw25g802j24nve2g70t86,aust-ust,4462797652,4462797000,652
terra130s4tvju7enp986a6s0gl33lngknh3pewk6rlk,aust-ust,9545383355,7167663000,2377720355
terra1ypg77s7anewjwn2xl8a4svdnnh7ns8l2rr7p9h,dph-ust,15931686815,15931686000,815
terra1l8e2hzhrh0kym2xanrw6fmlgfs09zxvunw353z,loop-ust,178184999,178184000,999
terra1dm9jhces9au8a6qzr9r7fdmqawu7f20385m3ja,loop-ust,37434272,37434000,272
terra1n5stq2xyjxntqhzv5k4xkvetwl29vfvgvugvjd,loopr-ust,396678627,396678000,627
terra1lsezmhtmhrdln6l7z02xnp6pel67jzqf0fxmj4,loop-ust,5614430,5614000,430
terra18fpaekj26n8lpzf9zxtmawnx8tx5nj6v3t9kn3,loop-ust,5715766553,5715766000,553
terra1luv47lksjyjxqesxej6av75mvrwzvxj5xluz5x,loop-mir,199680209,199680000,209
terra1l5f9ngw87lwhm2a9hpjcj95knuv7eul23fhz42,loop-ust,3077835,3077000,835
terra1a3z8t553p7sl6nnjjn4q4aflkwcfchhf39j4wy,loop-ust,109403043,109403000,43
terra1cjzhnxwxtxgks9pyfqjnacewe6q6pza6rnewee,loop-ust,5506035,5506000,35
terra17m7wf3w6qehfjz4f6lz6arpjz8jnn4m4r2rkxa,loop-ust,63974399,63974000,399
